"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4298","deleted repository surfaces the GitHub 404 page","gui","Tue May 12 13:12:34 UTC 2026","passed","Tue May 12 13:12:39 UTC 2026","GitHub UI: validates state created via the REST API","","",""
"","6588","creates a repository, adds an issue with a label, and cleans up","api","Tue May 12 13:12:37 UTC 2026","passed","Tue May 12 13:12:44 UTC 2026","GitHub REST API: repo to issue to label and then to cleanup","","",""
"","3959","deleting an already-deleted repo returns 404","api","Tue May 12 13:12:29 UTC 2026","passed","Tue May 12 13:12:33 UTC 2026","GitHub REST API edge cases","","",""
"","1","missing scope on add-label is covered by a scoped token (out of scope for this suite)","api","Tue May 12 13:12:37 UTC 2026","skipped","Tue May 12 13:12:37 UTC 2026","GitHub REST API edge cases","","",""
"","8361","repo, issue, and label are visible in the browser","gui","Tue May 12 13:12:26 UTC 2026","passed","Tue May 12 13:12:34 UTC 2026","GitHub UI: validates state created via the REST API","","",""
"","3928","creating a label with an empty name returns 422","api","Tue May 12 13:12:33 UTC 2026","passed","Tue May 12 13:12:37 UTC 2026","GitHub REST API edge cases","","",""
"","3321","creating a repo with a duplicate name returns 422","api","Tue May 12 13:12:26 UTC 2026","passed","Tue May 12 13:12:29 UTC 2026","GitHub REST API edge cases","","",""
"","100","unauthenticated /user/repos POST returns 401","api","Tue May 12 13:12:37 UTC 2026","passed","Tue May 12 13:12:37 UTC 2026","GitHub REST API edge cases > without auth headers","","",""
"","162","creating an issue on a non-existent repo returns 404","api","Tue May 12 13:12:29 UTC 2026","passed","Tue May 12 13:12:29 UTC 2026","GitHub REST API edge cases","","",""
